[2026-05-12] | [Emploi.ma] | 🪵 Vous êtes commercial dans le bois ou les matériaux ? Une belle opportunité vous attend à Casablanca ! Développez votre carrière dès aujourd'hui. 🚀 ↗ | https://www.interactjob.ma/offres/commercial-bois-casablanca-casablanca
[2026-05-12] | [Emploi.ma] | 📋 Vous êtes organisée, rigoureuse et ambitieuse ? Ce poste d'Assistante de Direction à Casablanca est fait pour vous ! Postulez maintenant 🚀 ↗ | https://www.interactjob.ma/offres/assistante-de-direction-office-manager-casablanca-casablanca
[2026-05-12] | [Emploi.ma] | 🚀 Opportunité à Tanger TFZ ! Ingénieur Technico-Commercial Sédentaire recherché pour un poste alliant technique et commerce B2B. Postulez maintenant ! 🏭 ↗ | https://www.interactjob.ma/offres/ingenieur-technico-commercial-sedentaire-tanger-tfz-a-cote-de-laeroport-tanger
[2026-05-12] | [Emploi.ma] | 🌟 Vous aimez créer du lien et animer des communautés ? Rejoignez le site de Zgounder comme Animateur(trice) Social(e) ! Postulez maintenant 👇 ↗ | https://www.interactjob.ma/offres/animateurtrice-sociale-marrakech
[2026-05-12] | [Emploi.ma] | 🏭 LASER TOLERIE PLUS recherche un Responsable Qualité Industriel à Casablanca ! Maîtrise ISO & soudage requise. Rejoignez l'aventure 🚀 Postulez dès aujourd'hui ! ↗ | https://www.interactjob.ma/offres/responsable-qualite-industriel-casablanca-casablanca
[2026-05-12] | [Emploi.ma] | 💼 Chargé(e) de Paie recherché(e) à Casablanca ! Maîtrisez la paie & la législation marocaine ? Rejoignez Groupe MCE RH. Postulez dès aujourd'hui ! 📩 ↗ | https://www.interactjob.ma/offres/charge-de-paie-casablanca-casablanca
[2026-05-12] | [Emploi.ma] | 📢 Offre d'emploi : Assistante Commerciale à Casablanca ! Gestion clients, devis & coordination commerciale. Rejoignez une équipe dynamique. Postulez dès aujourd'hui ! 🚀 ↗ | https://www.interactjob.ma/offres/assistante-commerciale-mohammedia-casablanca
[2026-05-12] | [Emploi.ma] | 🚢 Opportunité Import à Casablanca ! ELG recrute un(e) Chargé(e) d'Import. Douanes, logistique & finance internationale. Postulez maintenant ! 📦 ↗ | https://www.interactjob.ma/offres/chargee-dimport-casablanca-casablanca
[2026-05-12] | [Emploi.ma] | 🚀 Opportunité IT à Rabat ! ylenaour recrute un Responsable Full Stack pour booster son équipe tech. Postulez maintenant et évoluez dans un groupe franco-marocain ! 💻 ↗ | https://www.interactjob.ma/offres/responsable-developpeur-full-stack-hf-rabat-rabat
[2026-05-12] | [Emploi.ma] | 🔧 Technicien Électromécanicien recherché à Oujda – secteur agroalimentaire ! Experts en maintenance, ce poste est pour vous. Postulez dès aujourd'hui ! ⚙️ ↗ | https://www.interactjob.ma/offres/technicien-electromecanicien-experimente-secteur-agroalimentaire-oujda-oujda
[2026-05-12] | [Dreamjob.ma] | 🎯 Adient Tiflet recrute des Auditeurs Qualité ! Bac+2 + 1-2 ans d'expérience requis. Rejoignez un géant mondial de l'automobile au Maroc. Postulez vite ! 🚗 ↗ | https://www.interactjob.ma/offres/auditeurs-qualite-recherches-chez-adient-tiflet-maroc
[2026-05-12] | [Dreamjob.ma] | 🚗 Autoroutes du Maroc recrute ! Cadres, techniciens & agents opérationnels recherchés. Contrats classiques & ANAPEC disponibles. Postulez maintenant ! 🇲🇦 ↗ | https://www.interactjob.ma/offres/autoroutes-du-maroc-lance-une-campagne-de-recrutement-a-saisir-maroc
[2026-05-12] | [Dreamjob.ma] | 🚀 Airbus Atlantic Maroc recrute 3 profils cadres à Nouaceur ! Ingénieurs et managers, c'est votre chance d'intégrer l'aéronautique. Postulez maintenant ! ✈️ ↗ | https://www.interactjob.ma/offres/airbus-atlantic-maroc-recrute-3-profils-a-nouaceur-casablanca
[2026-05-12] | [Dreamjob.ma] | 🚀 CATHEDIS recrute des Team Leaders en e-logistique à Tanger, Tamesna & Ouarzazate en CDI ! Vous avez l'expérience terrain ? Postulez maintenant ! 📦 ↗ | https://www.interactjob.ma/offres/cathedis-propose-plusieurs-postes-de-team-leader-dans-3-villes-tanger
[2026-05-12] | [Dreamjob.ma] | 🏭 Suprajit Morocco recrute des opérateurs de production ! Niveau collège suffisant. Intégrez un leader mondial du câble automobile. Postulez maintenant ! 🚀 ↗ | https://www.interactjob.ma/offres/suprajit-morocco-recrute-des-operateurs-de-production-maroc
[2026-05-12] | [Dreamjob.ma] | 🎓 Mundiapolis recrute à Casablanca ! CDI + Stage rémunéré disponibles en gestion administrative et admissions. Candidatez vite ! 🚀 ↗ | https://www.interactjob.ma/offres/mundiapolis-ouvre-un-poste-et-un-stage-remunere-casablanca
[2026-05-12] | [Dreamjob.ma] | 📚 L'EFI Casablanca cherche des enseignants du primaire pour des remplacements ! Une belle opportunité dans l'éducation internationale. Postulez vite ! 🎓 ↗ | https://www.interactjob.ma/offres/recrutement-denseignants-du-primaire-a-lefi-casablanca-casablanca
[2026-05-12] | [Dreamjob.ma] | 🚗 Aircar Maroc recrute des Technico-Commerciaux à Fès & Marrakech ! Disponibilité immédiate. Postulez maintenant et rejoignez un leader de la mobilité ! 🌍 ↗ | https://www.interactjob.ma/offres/aircar-maroc-recrute-immediatement-des-profils-commerciaux-a-fes-et-marrakech-ma
[2026-05-12] | [Dreamjob.ma] | 🏛️ Le Ministère de la Solidarité recrute 5 Administrateurs par concours ! Date limite : 25 mai 2026. Préparez votre dossier maintenant et saisissez cette chance ! 🎯 ↗ | https://www.interactjob.ma/offres/concours-de-recrutement-ministere-de-la-solidarite-2026-5-administrateurs-maroc
[2026-05-12] | [Dreamjob.ma] | 🚗 Hertz Maroc ouvre ses agences aux étudiants ! Stages mi-temps Bac+1 à Bac+5 dans 16 villes. Lancez votre carrière dès maintenant ! 🎯 ↗ | https://www.interactjob.ma/offres/plusieurs-stages-etudiants-a-saisir-chez-hertz-maroc-maroc
[2026-05-12] | [Dreamjob.ma] | 🌊 Aqua Mirage Marrakech recrute en CDI ! Chargé(e) de Contenu & Agent de Réservation recherchés. Postulez dès maintenant sur Dreamjob.ma ! 🏨 ↗ | https://www.interactjob.ma/offres/postes-a-saisir-chez-aqua-mirage-a-marrakech-marrakech
[2026-05-12] | [Dreamjob.ma] | 🚀 Sofrecom Maroc (Orange) recrute 12 profils IT, Data & Cloud à Casablanca/Rabat en hybride ! Postulez maintenant et boostez votre carrière digitale 💡 ↗ | https://www.interactjob.ma/offres/12-postes-ouverts-chez-sofrecom-maroc-en-mode-hybride-casablanca
[2026-05-12] | [Dreamjob.ma] | 🎯 MTA Morocco ouvre ses portes aux stagiaires à Kénitra ! Achats, Logistique, RH, QHSE — Bac+2 à Bac+5. Postulez maintenant ! 🚀 ↗ | https://www.interactjob.ma/offres/mta-morocco-ouvre-plusieurs-stages-a-kenitra-maroc
[2026-05-12] | [Dreamjob.ma] | 🏗️ Un groupe immobilier leader au Maroc recrute son Directeur Planification & Coordination ! Envie d'un défi stratégique à envergure nationale ? Postulez vite ! 🚀 ↗ | https://www.interactjob.ma/offres/extreme-agency-recrute-plusieurs-profils-dans-limmobilier-et-le-btp-maroc
[2026-05-12] | [Dreamjob.ma] | 🏗️ CAPEP recrute 2 Techniciens Planification à Casablanca en CDI ! Bac+2/3 Génie Civil, débutants bienvenus. Ne ratez pas cette opportunité ! 📩 ↗ | https://www.interactjob.ma/offres/capep-lance-un-recrutement-de-techniciens-planification-casablanca
[2026-05-12] | [Dreamjob.ma] | 🏭 Fujikura Kénitra recrute des opératrices de production ! Niveau collège accepté, dès 18 ans. Une belle opportunité dans l'industrie automobile. Postulez maintenant ! 🚀 ↗ | https://www.interactjob.ma/offres/fujikura-recrute-des-operatrices-de-production-a-kenitra-maroc
[2026-05-12] | [Dreamjob.ma] | 🏟️ SONARGES lance un concours pour 5 postes au Maroc ! Agronome, Auditeur, Commercial… Candidatez avant le 28/05/2026 ! 🚀 ↗ | https://www.interactjob.ma/offres/concours-de-recrutement-sonarges-2026-5-postes-maroc
[2026-05-12] | [Dreamjob.ma] | 🎯 L'ANCFCC recrute 105 profils au Maroc ! Droit Privé & Topographie – Date limite : 20 mai 2026. Postulez maintenant et boostez votre carrière ! 🚀 ↗ | https://www.interactjob.ma/offres/concours-de-recrutement-ancfcc-2026-105-postes-maroc
[2026-05-12] | [Dreamjob.ma] | 🚀 Opportunité Retail à Casablanca ! Extreme Agency recrute un Project Manager FMCG anglophone. Postulez maintenant ! 🎯 ↗ | https://www.interactjob.ma/offres/extreme-agency-recrute-plusieurs-profils-dans-le-retail-maroc
